subject,ag_voxels
sub-438,97
sub-995,24
sub-995,24
sub-882,25
sub-882,25
sub-1193,44
sub-1193,44
sub-111,134
sub-111,134
sub-862,14
sub-862,14
sub-63,98
sub-63,98
sub-1690,298
sub-1690,106
sub-1690,195
sub-1005,77
sub-1005,153
sub-1005,82
sub-616,147
sub-616,147
sub-81,21
sub-81,21
sub-1485,5831
sub-1485,5831
sub-877,6707
sub-877,6707
sub-1418,68
sub-1418,68
sub-371,33
sub-371,33
sub-1292,2372
sub-1292,2372
sub-1477,215
sub-1477,215
sub-1496,69
sub-1496,69
sub-1229,260
sub-1229,260
sub-422,4621
sub-422,4621
sub-1578,2
sub-1578,2
sub-335,368
sub-1289,133
sub-1289,133
sub-1458,13
sub-1458,13
sub-969,648
sub-969,648
sub-131,1748
sub-131,1748
sub-639,324
sub-639,324
sub-235,5066
sub-235,5066
sub-1277,27
sub-1277,27
sub-67,20
sub-67,20
sub-210,536
sub-210,536
sub-343,321
sub-343,321
sub-1472,296
sub-1472,296
sub-1568,11
sub-1568,37
sub-1568,26
sub-418,162
sub-418,162
sub-415,29
sub-415,29
sub-952,1037
sub-952,1037
sub-276,53
sub-276,53
sub-618,65
sub-618,65
sub-843,3706
sub-843,3706
sub-891,206
sub-891,206
sub-290,7
sub-290,7
sub-1725,3657
sub-1725,3657
sub-82,34
sub-82,34
sub-430,241
sub-430,4
sub-430,237
sub-1160,24
sub-1160,24
sub-680,945
sub-680,945
sub-1108,119
sub-1108,119
sub-84,187
sub-84,187
sub-1366,5460
sub-1366,5460
sub-494,3782
sub-494,280
sub-494,4062
sub-1133,1344
sub-1133,1344
sub-748,8
sub-748,8
sub-1086,4064
sub-1086,4064
sub-86,26
sub-86,26
sub-475,11
sub-475,11
sub-555,30
sub-555,30
sub-558,357
sub-558,357
sub-692,2411
sub-692,2411
sub-1311,71
sub-1311,71
sub-990,1909
sub-990,1909
sub-1449,2334
sub-1449,578
sub-1449,2912
sub-433,3019
sub-433,3019
sub-660,61
sub-660,61
sub-946,1106
sub-946,1106
sub-567,2
sub-567,2
sub-1010,1231
sub-1010,1231
sub-1224,334
sub-1224,334
sub-412,76
sub-412,76
sub-642,1
sub-642,1
sub-1709,36
sub-1709,36
sub-522,2843
sub-522,2843
sub-185,3994
sub-185,3994
sub-468,727
sub-468,727
sub-42,2171
sub-42,2171
sub-935,15
sub-935,15
sub-320,962
sub-320,962
sub-631,350
sub-631,350
sub-927,2391
sub-927,2391
sub-1280,188
sub-1280,188
sub-461,54
sub-461,54
sub-398,3273
sub-398,3273
sub-938,3
sub-938,3
sub-173,2713
sub-173,2713
sub-246,449
sub-246,449
sub-994,37
sub-994,37
sub-1380,183
sub-1380,183
sub-178,17
sub-178,17
sub-1417,540
sub-1417,540
sub-1218,958
sub-1218,958
sub-1550,18
sub-808,610
sub-808,43
sub-808,585
sub-490,1821
sub-490,1821
sub-1561,858
sub-1561,858
sub-416,2907
sub-416,2907
sub-1371,88
sub-1371,88
sub-24,213
sub-24,213
sub-681,678
sub-681,678
sub-1519,25
sub-1519,25
sub-813,57
sub-813,57
sub-1354,161
sub-1354,161
sub-97,108
sub-97,108
sub-498,1118
sub-498,1118
sub-47,7192
sub-47,7192
sub-1522,431
sub-1522,431
sub-1632,87
sub-1632,87
sub-1521,149
sub-1521,149
sub-1729,197
sub-1729,197
sub-699,53
sub-699,53
sub-1090,535
sub-1090,535
sub-1695,3
sub-1695,3
sub-1548,1991
sub-1548,1991
sub-269,444
sub-269,444
sub-1630,13
sub-1630,13
sub-463,2791
sub-463,2791
sub-1043,218
sub-1043,218
sub-824,70
sub-824,70
sub-1105,79
sub-1105,79
sub-554,1023
sub-554,923
sub-554,103
sub-1303,120
sub-1303,120
sub-1223,2176
sub-1223,2176
sub-258,132
sub-258,132
sub-503,116
sub-503,116
sub-366,1415
sub-366,1415
sub-303,3597
sub-303,3597
sub-904,405
sub-904,114
sub-904,518
sub-400,2213
sub-400,2213
sub-1671,1827
sub-1671,1827
sub-102,3196
sub-102,3196
sub-1011,1391
sub-1011,1391
sub-1661,82
sub-1661,82
sub-1323,1218
sub-1323,1218
sub-505,2465
sub-505,2465
sub-893,22
sub-893,22
sub-1118,16
sub-1118,16
sub-356,2
sub-356,2
sub-1654,73
sub-1654,73
sub-174,2900
sub-174,2900
sub-1688,79
sub-1688,79
sub-1433,484
sub-1433,484
sub-1227,1741
sub-1227,1741
sub-966,1046
sub-966,1046
sub-918,83
sub-918,83
sub-240,76
sub-240,76
sub-776,1695
sub-776,1695
sub-1583,776
sub-1583,776
sub-848,2602
sub-848,2602
sub-1093,42
sub-1093,440
sub-1093,404
sub-424,229
sub-424,229
sub-1555,1057
sub-1555,1057
sub-1517,200
sub-1517,200
sub-517,154
sub-517,154
sub-444,1824
sub-444,1824
sub-1507,2015
sub-1507,2015
sub-1658,38
sub-1658,38
sub-1314,6206
sub-1314,6206
sub-530,393
sub-530,393
sub-914,598
sub-914,598
sub-1424,20
sub-1424,20
sub-1435,7
sub-1435,7
sub-1707,180
sub-1707,416
sub-1707,589
sub-66,549
sub-66,549
sub-155,25
sub-155,25
sub-1258,27
sub-1258,27
sub-657,3960
sub-657,3960
sub-241,2172
sub-241,2172
sub-1483,3783
sub-1483,15
sub-1483,3798
sub-661,6083
sub-661,6083
sub-138,299
sub-138,299
sub-881,1258
sub-881,520
sub-881,751
sub-870,2124
sub-870,2124
sub-1330,3108
sub-1330,3108
sub-1147,570
sub-1147,570
sub-854,15
sub-854,15
sub-998,1318
sub-998,1318
sub-51,81
sub-51,81
sub-1119,246
sub-1119,246
sub-634,1815
sub-634,1815
sub-1379,204
sub-1379,204
sub-1562,436
sub-1562,436
sub-1029,112
sub-1029,112
sub-525,4156
sub-525,4156
sub-1440,504
sub-1440,504
sub-321,3158
sub-321,3158
sub-165,1938
sub-165,1938
sub-850,687
sub-850,898
sub-850,217
sub-128,354
sub-128,354
sub-947,430
sub-947,430
sub-113,1905
sub-113,1905
sub-1670,1263
sub-1670,1263
sub-664,96
sub-664,96
sub-1137,57
sub-1137,57
sub-1236,7
sub-1236,7
sub-467,3576
sub-467,3576
sub-1470,754
sub-1470,754
sub-572,429
sub-572,429
sub-1129,14
sub-1129,14
sub-1182,1457
sub-1182,1457
sub-326,4207
sub-326,4207
sub-834,19
sub-834,19
sub-538,717
sub-538,717
sub-114,1135
sub-114,1135
sub-99,180
sub-99,180
sub-1574,57
sub-1574,57
sub-297,1128
sub-297,1128
sub-1407,2
sub-1407,2
sub-260,1430
sub-260,1430
sub-682,1282
sub-682,1282
sub-370,4590
sub-370,4590
sub-501,5392
sub-501,5392
sub-1557,22
sub-1557,22
sub-1102,63
sub-1102,63
sub-1498,348
sub-1498,348
sub-1202,29
sub-1202,29
sub-432,1475
sub-432,1475
sub-1349,1071
sub-1349,1071
sub-1445,2359
sub-1445,2359
sub-1095,236
sub-1095,236
sub-1095,236
sub-700,959
sub-700,959
sub-1554,350
sub-1554,350
sub-509,1309
sub-509,1309
sub-1369,3173
sub-1369,3173
